Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2157352,Sex Diary of a Metaphysician,Colin Wilson,"Wilson, Colin",,"=""0914171593""","=""9780914171591""",0,3.86,Ronin Publishing,Paperback,256,1993,1963,,2009/06/15,currently-reading,currently-reading (#1),currently-reading,,,,1,0
137021,Sex and Drugs: A Journey Beyond Limits,Robert Anton Wilson,"Wilson, Robert Anton",,"=""094140448X""","=""9780941404488""",4,3.94,New Falcon Publications (USA),Paperback,188,1988,1973,,2009/06/15,"philosophy, bob","philosophy (#40), bob (#2)",read,,,,1,0
6290235,Complete Poetical Works,Edgar Allan Poe,"Poe, Edgar Allan",,"=""""","=""""",4,4.29,,Kindle Edition,161,,1831,,2014/09/30,,,read,,,,1,0
36398794,The Rig,Roger Levy,"Levy, Roger",,"=""1785655639""","=""9781785655630""",0,3.76,Titan Books,Paperback,618,2018,2018,,2019/11/10,science-fiction,science-fiction (#122),read,,,,0,0
1056946,"The Diamond Age: or, A Young Lady's Illustrated Primer",Neal Stephenson,"Stephenson, Neal",,"=""0553096095""","=""9780553096095""",5,4.16,Bantam Spectra,Hardcover,455,1995,1995,,2019/11/07,science-fiction,science-fiction (#121),read,"Perhaps his best book? Better than [b:Snow Crash|40651883|Snow Crash|Neal Stephenson|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530057753l/40651883._SX50_.jpg|493634]? Maybe. I love the way he uses [a:Philip K. Dick|4764|Philip K. Dick|https://images.gr-assets.com/authors/1264613853p2/4764.jpg] like future slang in this book. The stories from the illustrated primer are great. Nell is an absolutely absorbing character in a coming of age tale. Molecular nanotechnology is omnipresent in the novel's world, with Stephenson extrapolating nanotechnology use and implementation in a variety of astounding ways including the integration of nanotechnology with artificial intelligence. The book deals with issues of social class, ethnicity, the effect of stories and education on the development of human personality, and the nature of artificial intelligence. Many of the technological advances are speculative but many are reasonable extrapolations of existing technology such as smart paper.<br/><br/>If you are a little confused by all the nanotech in this novel then a good introduction to nanotechnology can be found in the book [b:Engines of Creation: The Coming Era of Nanotechnology|83596|Engines of Creation  The Coming Era of Nanotechnology|K. Eric Drexler|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320504490l/83596._SY75_.jpg|80705] by [a:K. Eric Drexler|599584|K. Eric Drexler|https://images.gr-assets.com/authors/1365796028p2/599584.jpg].<br/><br/>The ending is a bit rushed. Thanks Neal!",,,1,0
19288239,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0385352107""","=""9780385352109""",4,3.87,Alfred A. Knopf,Hardcover,386,2014,2013,,2019/08/24,"fiction, murakami, novels","fiction (#128), murakami (#8), novels (#182)",read,,,,1,0
35061344,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",5,4.03,Del Rey,Paperback,563,2017,1992,,2019/08/16,"fiction, science-fiction","fiction (#127), science-fiction (#120)",read,"It's as good as everybody says it is. That is, ""Snow Crash"" is one of the greatest novels of our time.",,,1,0
142913,Zodiac: The Eco-Thriller,Neal Stephenson,"Stephenson, Neal",,"=""0802143156""","=""9780802143150""",5,3.73,Grove Press,Paperback,320,2007,1988,,2019/08/16,"fiction, novels","fiction (#126), novels (#181)",read,"Stephenson's writing improves dramatically in this, his 2nd novel. It's remarkable the degree of improvement in writing from ""The Big U"" to ""Zodiac"". Well done!<br/><br/>If you are looking for an eco-thriller then I can highly recommend this at times hilarious and thoroughly enjoyable educational read.",,,1,0
826,The Big U,Neal Stephenson,"Stephenson, Neal",,"=""0380816032""","=""9780380816033""",4,3.26,William Morrow Paperbacks,Paperback,308,2001,1984,,2019/07/19,fiction,fiction (#125),read,,,,1,0
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",4,4.24,Avon,Mass Market Paperback,1152,2002,1999,,2019/07/09,fiction,fiction (#124),read,,,,0,0
10577306,And on Piano ...Nicky Hopkins: The Extraordinary Life of Rock's Greatest Session Man,Julian Dawson,"Dawson, Julian",Klaus Voormann,"=""0984436227""","=""9780984436224""",5,4.07,Backstage Press,Paperback,359,2011,2011,,2019/04/24,biography,biography (#27),read,,,,1,0
6083231,Etiquette,Emily Post,"Post, Emily",,"=""""","=""""",4,4.16,,Kindle Edition,,,1922,,2014/09/30,,,read,,,,1,0
